0,1,2,3,4,5
1st,"
A++ ","

Zee TV

",82757,"
18,752,951 ","
20,869,786,591 "
2nd,"
A++ ","

T-Series

",12661,"
61,196,302 ","
47,548,839,843 "
3rd,"
A++ ","

Cocomelon - Nursery Rhymes

",373,"
19,238,251 ","
9,793,305,082 "
4th,"
A++ ","

SET India

",27323,"
31,180,559 ","
22,675,948,293 "
5th,"
A++ ","

WWE

",36756,"
32,852,346 ","
26,273,668,433 "
6th,"
A++ ","

Movieclips

",30243,"
17,149,705 ","
16,618,094,724 "
7th,"
A++ ","

netd müzik

",8500,"
11,373,567 ","
23,898,730,764 "
8th,"
A++ ","

ABS-CBN Entertainment

",100147,"
12,149,206 ","
17,202,609,850 "
9th,"
A++ ","

Ryan ToysReview

",1140,"
16,082,927 ","
24,518,098,041 "
10th,"
A++ ","

Zee Marathi

",74607,"
2,841,811 ","
2,591,830,307 "
11th,"
A+ ","
5-Minute Crafts

",2085,"
33,492,951 ","
8,587,520,379 "
12th,"
A+ ","
Canal KondZilla

",822,"
39,409,726 ","
19,291,034,467 "
13th,"
A+ ","
Like Nastya Vlog

",150,"
7,662,886 ","
2,540,099,931 "
14th,"
A+ ","
Ozuna

",50,"
18,824,912 ","
8,727,783,225 "
15th,"
A+ ","
Wave Music

",16119,"
15,899,764 ","
10,989,179,147 "
16th,"
A+ ","
Ch3Thailand

",49239,"
11,569,723 ","
9,388,600,275 "
17th,"
A+ ","
WORLDSTARHIPHOP

",4778,"
15,830,098 ","
11,102,158,475 "
18th,"
A+ ","
Vlad and Nikita

",53,"
-- ","
1,428,274,554 "
19th,"
A+ ","
Badabun

",3060,"
23,603,062 ","
5,860,444,053 "
20th,"
A+ ","
WorkpointOfficial

",24287,"
17,687,229 ","
14,022,189,654 "
21st,"
A+ ","
xxxtentacion

",48,"
11,593,509 ","
2,029,279,311 "
22nd,"
A+ ","
Zee Music Company

",3403,"
23,440,427 ","
11,666,909,155 "
23rd,"
A+ ","
SAB TV

",19358,"
11,347,420 ","
9,572,788,450 "
24th,"
A+ ","
DeadloxMC

",1833,"
2,137,907 ","
245,437,560 "
25th,"
A+ ","
ETV Andhra Pradesh

",186194,"
712,562 ","
349,096,736 "
